Tribunal;Codigo orgao;Municipio;UF;Nome orgao;Grau;CP_Apr_2024;CP_Apr_2025;%CP;Sus_Apr_2024;Sus_Apr_2025;%Sus;CN_12_meses;Tbaix_12_meses;Desp_12_meses;DecInc_12_meses;SentCM_12_meses;SentSM_12_meses;ProcSM100_Apr_2025;Conc100_Apr_2025;TPSent_12_meses;TPCPL_Apr_2025;TC_Apr_2025;IAD_12_meses
TJSP;10864;SAO PAULO;SP;JUIZADO ESPECIAL CÍVEL - CIC ZONA OESTE-FORO REGIONAL IV - LAPA;JE;367;366;-0,3%;0;0;;0;0;0;0;0;0;358;7;;21 anos e 10 meses;100%;
TJSP;59839;SAO PAULO;SP;02 TURMA CRIMINAL DO I COLEGIO RECURSAL DA CAPITAL DE CENTRAL;TR;413;402;-2,7%;7;0;-100%;0;10;13;6;0;0;395;0;6 anos e 4 meses;16 anos e 1 Mes;98%;
TJSP;59766;SAO PAULO;SP;01 TURMA CIVEL DO I COLEGIO RECURSAL DA CAPITAL DE CENTRAL;TR;1.294;1.259;-2,7%;191;2;-99%;0;38;30;138;0;0;1.069;1;;16 anos;97%;
TJSP;59792;SAO PAULO;SP;01 TURMA CRIMINAL DO I COLEGIO RECURSAL DA CAPITAL DE CENTRAL;TR;1.143;1.133;-0,9%;11;0;-100%;2;24;11;22;0;0;1.119;0;0 anos;16 anos;98%;1.200%
TJSP;59814;SAO PAULO;SP;02 TURMA CIVEL DO I COLEGIO RECURSAL DA CAPITAL DE CENTRAL;TR;591;563;-4,7%;176;1;-99,4%;0;31;50;138;0;0;324;1;;16 anos;91%;
TJSP;59867;SAO PAULO;SP;04 TURMA CIVEL DO I COLEGIO RECURSAL DA CAPITAL DE CENTRAL;TR;756;727;-3,8%;183;2;-98,9%;0;30;52;134;0;0;545;0;;15 anos e 11 meses;95%;
TJSP;59852;SAO PAULO;SP;03 TURMA CIVEL DO I COLEGIO RECURSAL DA CAPITAL DE CENTRAL;TR;722;694;-3,9%;171;4;-97,7%;0;28;36;114;0;0;539;0;10 meses;15 anos e 11 meses;95%;
TJSP;10756;TUPI PAULISTA;SP;01 CUMULATIVA DE TUPI PAULISTA;G1, JE;4.796;3.767;-21,5%;1.133;1.106;-2,4%;1.697;2.627;4.461;6.103;1.019;1.420;836;10;27 anos e 7 meses;15 anos e 3 meses;49%;155%
TJSP;70925;SAO PAULO;SP;15ª CÂMARA DE DIREITO PÚBLICO;G2;20.582;22.677;10,2%;1.311;1.521;16%;15.659;13.585;12.085;7.318;2.324;1.472;13.911;1.301;2 meses;14 anos e 7 meses;61%;87%
TJSP;10932;SAO PAULO;SP;CARTÓRIO ANEXO DO JUIZADO ESPECIAL CÍVEL SÃO JUDAS-FORO CÍVEL CENTRAL;G1, JE;330;324;-1,8%;8;7;-12,5%;6;1;0;1;0;0;303;4;;13 anos e 10 meses;100%;17%
TJSP;59855;SAO PAULO;SP;03 TURMA CIVEL DO IV COLEGIO RECURSAL DA CAPITAL DE LAPA;TR;310;50;-83,9%;2;7;250%;5;267;159;9;2;1;6;3;3 anos e 3 meses;13 anos e 9 meses;14%;5.340%
TJSP;59816;SAO PAULO;SP;02 TURMA CIVEL DO III COLEGIO RECURSAL DA CAPITAL DE SANTO AMARO;TR;1.526;1.468;-3,8%;1.027;986;-4%;1;64;122;46;1;0;393;17;2 anos e 5 meses;13 anos e 8 meses;88%;6.400%
TJSP;70927;SAO PAULO;SP;17ª CÂMARA DE DIREITO PÚBLICO;G2;13.098;12.271;-6,3%;558;746;33,7%;6.967;7.799;7.523;4.277;251;32;8.796;393;1 Mes;13 anos e 8 meses;60%;112%
TJSP;59817;SAO PAULO;SP;02 TURMA CIVEL DO IV COLEGIO RECURSAL DA CAPITAL DE LAPA;TR;107;63;-41,1%;4;9;125%;5;55;54;7;1;0;13;1;6 meses;13 anos e 5 meses;50%;1.100%
TJSP;70926;SAO PAULO;SP;16ª CÂMARA DE DIREITO PÚBLICO;G2;13.644;13.800;1,1%;314;636;102,5%;9.911;9.759;10.675;3.687;380;60;9.286;454;1 Mes;12 anos e 10 meses;57%;98%
TJSP;75476;SAO PAULO;SP;11ª CÂMARA EXTRAORDINÁRIA DE DIREITO PÚBLICO;G2;40;32;-20%;17;11;-35,3%;1;9;8;12;0;0;10;9;6 anos e 5 meses;12 anos e 9 meses;70%;900%
TJSP;10627;SAO PAULO;SP;ITINERANTE PERMANENTE DE CENTRAL;G1, JE;6.725;6.707;-0,3%;21;8;-61,9%;6;1;0;0;0;0;5.268;1.420;;12 anos e 4 meses;100%;17%
TJSP;59869;SAO PAULO;SP;04 TURMA CIVEL E CRIMINAL DO V COLEGIO RECURSAL DA CAPITAL DE PENHA;TR;92;92;0%;1;1;0%;0;0;0;1;0;0;86;5;;12 anos e 1 Mes;100%;
TJSP;70888;SAO PAULO;SP;3ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO;G2;11;11;0%;0;0;;0;0;0;0;0;0;9;2;;12 anos e 1 Mes;100%;
TJSP;59861;SAO PAULO;SP;03 TURMA CIVEL E CRIMINAL DO V COLEGIO RECURSAL DA CAPITAL DE PENHA;TR;96;56;-41,7%;5;4;-20%;2;43;45;9;0;0;35;1;;12 anos;55%;2.150%
TJSP;59787;SAO PAULO;SP;01 TURMA CIVEL E CRIMINAL DO V COLEGIO RECURSAL DA CAPITAL DE PENHA;TR;146;67;-54,1%;10;8;-20%;24;88;63;42;0;0;40;3;1 ano e 7 meses;12 anos;40%;367%
TJSP;59835;SAO PAULO;SP;02 TURMA CIVEL E CRIMINAL DO V COLEGIO RECURSAL DA CAPITAL DE PENHA;TR;140;75;-46,4%;7;5;-28,6%;1;87;83;27;0;0;39;6;;11 anos e 11 meses;45%;8.700%
TJSP;9916;MOGI DAS CRUZES;SP;1VARA-FORO DISTRITAL DE BRÁS CUBAS;G1, JE;8;8;0%;0;0;;0;0;0;0;0;0;5;1;;11 anos e 8 meses;100%;
TJSP;70886;SAO PAULO;SP;1ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO;G2;5;4;-20%;1;1;0%;0;1;0;0;0;0;1;1;;11 anos e 8 meses;67%;
TJSP;70887;SAO PAULO;SP;2ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO;G2;3;3;0%;0;0;;0;0;0;0;0;0;0;1;;11 anos e 7 meses;100%;
TJSP;70953;SAO PAULO;SP;1CÂMARA CRIMINAL EXTRAORDINÁRIA;G2;7;5;-28,6%;0;0;;0;2;0;0;1;0;4;1;;11 anos e 7 meses;71%;
TJSP;59882;SAO PAULO;SP;09 TURMA CIVEL DO I COLEGIO RECURSAL DA CAPITAL DE CENTRAL;TR;192;165;-14,1%;174;0;-100%;0;26;33;104;1;0;4;0;2 anos e 2 meses;11 anos e 4 meses;13%;
TJSP;59768;SAO PAULO;SP;01 TURMA CIVEL DO III COLEGIO RECURSAL DA CAPITAL DE SANTO AMARO;TR;996;930;-6,6%;798;768;-3,8%;10;80;159;59;2;0;114;27;1 ano e 10 meses;11 anos e 4 meses;67%;800%
TJSP;70924;SAO PAULO;SP;14ª CÂMARA DE DIREITO PÚBLICO;G2;19.168;21.161;10,4%;1.510;1.986;31,5%;17.269;15.328;16.780;6.535;796;1.321;9.872;1.338;3 meses;11 anos e 3 meses;56%;89%
TJSP;9395;BAURU;SP;02 FAZENDA PUBLICA DE BAURU;G1, JE;17.802;12.902;-27,5%;7.206;3.265;-54,7%;1.274;1.284;3.589;4.926;978;147;4.975;92;2 anos e 1 Mes;11 anos e 2 meses;88%;101%
TJSP;9917;MOGI DAS CRUZES;SP;2VARA-FORO DISTRITAL DE BRÁS CUBAS;G1;21;19;-9,5%;0;0;;0;0;0;0;0;0;17;0;;11 anos e 1 Mes;100%;
TJSP;10456;SAO PAULO;SP;02 CRIMINAL DE PENHA;G1, JE;64;50;-21,9%;16;8;-50%;0;0;9;0;2;0;35;1;16 anos e 10 meses;11 anos;100%;
TJSP;70955;SAO PAULO;SP;3CÂMARA CRIMINAL EXTRAORDINÁRIA;G2;5;5;0%;1;1;0%;0;0;0;2;0;0;4;0;;11 anos;100%;
TJSP;70893;SAO PAULO;SP;8ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO;G2;2;2;0%;0;0;;0;0;0;0;0;0;2;0;;11 anos;100%;
TJSP;70895;SAO PAULO;SP;10ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO;G2;3;2;-33,3%;0;0;;0;0;0;0;0;0;2;0;;11 anos;100%;
TJSP;70896;SAO PAULO;SP;11ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO;G2;5;5;0%;3;3;0%;1;1;0;1;0;0;2;0;0 anos;11 anos;67%;100%
TJSP;70891;SAO PAULO;SP;6ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO;G2;2;2;0%;0;0;;0;0;0;0;0;0;2;0;;11 anos;100%;
TJSP;70889;SAO PAULO;SP;4ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO;G2;27;28;3,7%;2;2;0%;1;0;0;2;0;0;21;2;;11 anos;100%;0%
TJSP;10695;SUMARE;SP;SAF DE SUMARE;G1;84.209;61.743;-26,7%;17.575;35.079;99,6%;1.193;24.004;9.976;30.262;4.432;20.351;14.430;97;4 anos e 11 meses;10 anos e 11 meses;53%;2.012%
TJSP;70956;SAO PAULO;SP;4CÂMARA CRIMINAL EXTRAORDINÁRIA;G2;9;9;0%;0;0;;0;0;0;1;0;0;7;2;;10 anos e 11 meses;100%;
TJSP;70931;SAO PAULO;SP;3ª CÂMARA EXTRAORDINÁRIA DE DIREITO PÚBLICO;G2;28;24;-14,3%;11;8;-27,3%;0;3;3;15;0;0;8;2;;10 anos e 10 meses;82%;
TJSP;17565;PIRACICABA;SP;01 FAZENDA PUBLICA DE PIRACICABA;G1, JE;321.487;289.657;-9,9%;130.252;117.389;-9,9%;6.964;38.958;2.801;18.944;7.223;24.237;117.575;2.263;7 anos e 11 meses;10 anos e 10 meses;82%;559%
TJSP;9517;CATANDUVA;SP;SAF DE CATANDUVA;G1, JE;83.508;72.906;-12,7%;3.789;4.030;6,4%;762;11.303;2.569;7.982;6.353;8.544;30.043;6.912;11 anos e 9 meses;10 anos e 10 meses;86%;1.483%
TJSP;10089;PITANGUEIRAS;SP;01 CUMULATIVA DE PITANGUEIRAS;G1, JE;24.391;17.070;-30%;949;982;3,5%;1.417;1.496;4.410;4.522;892;237;3.894;405;2 anos e 10 meses;10 anos e 10 meses;91%;106%
TJSP;70899;SAO PAULO;SP;14ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO;G2;14;14;0%;2;2;0%;0;0;0;0;0;0;11;0;;10 anos e 10 meses;100%;
TJSP;59750;SANTOS;SP;01 TURMA CIVEL DO COLEGIO RECURSAL DA 1 C.J. - SANTOS DE SANTOS;TR;616;183;-70,3%;64;48;-25%;8;454;44;8;0;0;83;41;1 ano e 1 Mes;10 anos e 9 meses;23%;5.675%
TJSP;70890;SAO PAULO;SP;5ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO;G2;14;14;0%;1;1;0%;0;0;0;0;0;0;11;1;;10 anos e 6 meses;100%;
TJSP;59854;SAO PAULO;SP;03 TURMA CIVEL DO III COLEGIO RECURSAL DA CAPITAL DE SANTO AMARO;TR;1.016;973;-4,2%;868;841;-3,1%;2;48;100;18;3;0;87;15;9 anos e 5 meses;10 anos e 6 meses;72%;2.400%
TJSP;59238;LORENA;SP;SEF DE LORENA;G1;49.926;46.764;-6,3%;9.932;8.985;-9,5%;42;3.912;587;4.383;4.565;1.808;22.755;341;10 anos e 6 meses;10 anos e 5 meses;91%;9.314%
TJSP;9389;BAURU;SP;01 FAZENDA PUBLICA DE BAURU;G1, JE;21.102;11.319;-46,4%;12.971;3.632;-72%;1.217;1.347;2.519;6.088;1.027;62;4.238;130;1 ano e 9 meses;10 anos e 5 meses;85%;111%
TJSP;70954;SAO PAULO;SP;2CÂMARA CRIMINAL EXTRAORDINÁRIA;G2;4;3;-25%;0;0;;0;1;0;0;0;0;3;0;;10 anos e 4 meses;75%;
TJSP;70897;SAO PAULO;SP;12ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO;G2;15;12;-20%;3;2;-33,3%;0;3;0;1;0;0;8;1;;10 anos e 4 meses;75%;
TJSP;59769;SAO PAULO;SP;01 TURMA CIVEL DO IV COLEGIO RECURSAL DA CAPITAL DE LAPA;TR;221;95;-57%;5;6;20%;7;146;61;3;0;0;21;1;1 ano e 4 meses;10 anos e 3 meses;38%;2.086%
TJSP;59881;SAO PAULO;SP;08 TURMA CIVEL DO I COLEGIO RECURSAL DA CAPITAL DE CENTRAL;TR;182;160;-12,1%;164;130;-20,7%;2;24;35;117;1;0;3;0;10 meses;10 anos e 3 meses;11%;1.200%
TJSP;9837;LEME;SP;SEF DE LEME;G1;26.381;24.623;-6,7%;2.314;2.935;26,8%;69;2.013;1.785;6.019;1.715;5.081;12.422;60;12 anos e 8 meses;10 anos e 3 meses;92%;2.917%
TJSP;70900;SAO PAULO;SP;15ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO;G2;6;5;-16,7%;4;4;0%;0;0;0;1;0;0;1;0;;10 anos e 3 meses;100%;
TJSP;9748;ITAQUAQUECETUBA;SP;SAF DE ITAQUAQUECETUBA;G1;341.376;100.195;-70,6%;12.497;5.207;-58,3%;13.011;254.841;158;4.004;80.581;185.797;82.028;1.930;7 anos e 9 meses;10 anos e 2 meses;27%;1.959%
TJSP;59857;MOGI DAS CRUZES;SP;03 TURMA CIVEL E CRIMINAL DO COLEGIO RECURSAL DA 45 C.J. - MOGI DAS CRUZES DE MOGI DAS CRUZES;TR;373;304;-18,5%;207;154;-25,6%;0;78;71;32;4;0;127;10;2 anos e 1 Mes;10 anos e 2 meses;64%;
TJSP;70907;SAO PAULO;SP;TURMA ESPECIAL - DIREITO PRIVADO 1;G2;263;273;3,8%;1;1;0%;38;27;34;15;4;4;204;51;4 meses;10 anos e 1 Mes;91%;71%
TJSP;59794;ARARAQUARA;SP;02 TURMA CIVEL DO COLEGIO RECURSAL DA 13 C.J. - ARARAQUARA DE ARARAQUARA;TR;148;56;-62,2%;0;0;;0;94;166;2;3;0;3;0;1 ano e 10 meses;10 anos e 1 Mes;3%;
TJSP;59778;MOGI DAS CRUZES;SP;01 TURMA CIVEL E CRIMINAL DO COLEGIO RECURSAL DA 45 C.J. - MOGI DAS CRUZES DE MOGI DAS CRUZES;TR;444;370;-16,7%;283;235;-17%;0;75;78;45;1;0;108;27;4 anos e 11 meses;10 anos e 1 Mes;64%;
TJSP;70898;SAO PAULO;SP;13ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO;G2;20;18;-10%;3;3;0%;0;2;0;1;0;0;11;3;;10 anos;88%;
TJSP;59884;TAUBATE;SP;TURMA CIVEL DO COLEGIO RECURSAL DA 47 C.J. - TAUBATE DE TAUBATE;TR;274;196;-28,5%;222;190;-14,4%;0;78;108;32;0;0;2;0;10 anos e 3 meses;10 anos;2%;
TJSP;10497;SAO PAULO;SP;VARA UNICA DE PARELHEIROS;G1, JE;56;56;0%;0;0;;0;0;0;0;0;0;54;0;;10 anos;100%;
TJSP;10132;PRESIDENTE PRUDENTE;SP;01 EXECUCOES CRIMINAIS DE PRESIDENTE PRUDENTE;G1;5.965;3.290;-44,8%;132;102;-22,7%;476;896;1.886;2.508;273;0;1.651;371;11 anos e 6 meses;10 anos;78%;188%
TJSP;59230;GUARUJA;SP;FAZENDA PUBLICA DE GUARUJA;G1, JE;338.470;317.020;-6,3%;9.322;19.524;109,4%;2.633;23.986;518;32.500;18.758;19.306;271.062;4.670;9 anos e 8 meses;9 anos e 11 meses;93%;911%
TJSP;59765;SAO BERNARDO DO CAMPO;SP;01 TURMA CIVEL DO COLEGIO RECURSAL DE SAO BERNARDO DO CAMPO DE SAO BERNARDO DO CAMPO;TR;9;2;-77,8%;2;0;-100%;6;11;16;2;3;0;1;0;3 anos e 4 meses;9 anos e 11 meses;8%;183%
TJSP;9550;CUBATAO;SP;SAF DE CUBATAO;G1;34.890;22.103;-36,6%;2.784;2.162;-22,3%;441;13.211;1.726;1.096;5.467;7.578;9.486;775;12 anos e 11 meses;9 anos e 11 meses;60%;2.996%
TJSP;10927;SAO PAULO;SP;CARTÓRIO ANEXO DO JUIZADO ESPECIAL CÍVEL UNIB-FORO CÍVEL CENTRAL;G1, JE;3;2;-33,3%;0;0;;0;0;0;0;0;0;2;0;;9 anos e 9 meses;100%;
TJSP;70958;SAO PAULO;SP;6CÂMARA CRIMINAL EXTRAORDINÁRIA;G2;1;1;0%;0;0;;0;0;0;0;0;0;1;0;;9 anos e 9 meses;100%;
TJSP;10373;SAO JOSE DOS CAMPOS;SP;01 FAZENDA PUBLICA DE SAO JOSE DOS CAMPOS;G1, JE;16.638;12.330;-25,9%;3.672;2.671;-27,3%;970;1.557;4.117;3.821;473;138;5.974;26;4 anos e 4 meses;9 anos e 9 meses;86%;161%
TJSP;10196;RIO CLARO;SP;FAZENDA PUBLICA DE RIO CLARO;G1, JE;65.287;64.095;-1,8%;6.624;5.858;-11,6%;2.061;3.483;11.560;5.126;1.650;1.011;51.525;3.116;5 anos e 3 meses;9 anos e 9 meses;94%;169%
TJSP;10374;SAO JOSE DOS CAMPOS;SP;02 FAZENDA PUBLICA DE SAO JOSE DOS CAMPOS;G1, JE;15.637;12.066;-22,8%;3.494;1.577;-54,9%;1.034;967;5.294;2.816;628;109;5.568;20;3 anos e 7 meses;9 anos e 9 meses;92%;94%
TJSP;70892;SAO PAULO;SP;7ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO;G2;9;9;0%;1;1;0%;1;1;0;0;0;0;7;1;;9 anos e 9 meses;89%;100%
TJSP;10037;PENAPOLIS;SP;SEF DE PENAPOLIS;G1;49.481;33.564;-32,2%;2.773;1.174;-57,7%;823;16.583;928;1.581;2.022;16.406;21.170;346;9 anos e 10 meses;9 anos e 8 meses;66%;2.015%
TJSP;9568;DIADEMA;SP;FAZENDA PUBLICA DE DIADEMA;G1, JE;126.477;107.675;-14,9%;10.080;8.574;-14,9%;4.642;24.280;6.435;5.057;6.684;18.563;85.210;16;5 anos e 11 meses;9 anos e 8 meses;80%;523%
TJSP;10187;RIBEIRAO PRETO;SP;02 FAZENDA PUBLICA DE RIBEIRAO PRETO;G1, JE;17.048;14.339;-15,9%;3.578;2.560;-28,5%;2.116;2.055;14;8.068;873;1.901;4.181;343;14 anos e 10 meses;9 anos e 8 meses;85%;97%
TJSP;59826;MOGI DAS CRUZES;SP;02 TURMA CIVEL E CRIMINAL DO COLEGIO RECURSAL DA 45 C.J. - MOGI DAS CRUZES DE MOGI DAS CRUZES;TR;298;251;-15,8%;229;195;-14,8%;0;50;58;39;9;0;37;7;;9 anos e 8 meses;47%;
TJSP;59231;JACAREI;SP;FAZENDA PUBLICA DE JACAREI;G1;121.387;103.707;-14,6%;14.107;10.520;-25,4%;2.122;19.854;18.354;9.696;3.804;19.207;66.029;5.500;6 anos e 5 meses;9 anos e 8 meses;82%;936%
TJSP;10740;TAUBATE;SP;02 EXECUCOES CRIMINAIS DE TAUBATE;G1, JE;8.011;3.501;-56,3%;135;186;37,8%;0;0;0;0;0;0;1.306;527;;9 anos e 7 meses;100%;
TJSP;70894;SAO PAULO;SP;9ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO;G2;5;5;0%;1;1;0%;0;0;0;0;0;0;3;1;;9 anos e 7 meses;100%;
TJSP;59820;FERNANDOPOLIS;SP;02 TURMA CIVEL E CRIMINAL DO COLEGIO RECURSAL DA 18 C.J. - FERNANDOPOLIS DE FERNANDOPOLIS;TR;217;135;-37,8%;46;120;160,9%;0;89;28;161;2;0;9;0;4 anos e 6 meses;9 anos e 6 meses;9%;
TJSP;59871;SANTOS;SP;05 TURMA CIVEL DO COLEGIO RECURSAL DA 1 C.J. - SANTOS DE SANTOS;TR;411;181;-56%;68;44;-35,3%;10;254;73;5;0;0;93;29;;9 anos e 6 meses;35%;2.540%
TJSP;71060;SAO PAULO;SP;4ª CÂMARA EXTRAORDINÁRIA DE DIREITO PÚBLICO;G2;26;16;-38,5%;8;4;-50%;1;10;2;13;0;0;9;0;;9 anos e 5 meses;52%;1.000%
TJSP;10186;RIBEIRAO PRETO;SP;01 FAZENDA PUBLICA DE RIBEIRAO PRETO;G1, JE;20.291;17.765;-12,4%;3.820;3.551;-7%;2.032;1.988;6.088;3.009;1.022;723;6.306;315;7 anos e 3 meses;9 anos e 4 meses;88%;98%
TJSP;59772;FERNANDOPOLIS;SP;01 TURMA CIVEL E CRIMINAL DO COLEGIO RECURSAL DA 18 C.J. - FERNANDOPOLIS DE FERNANDOPOLIS;TR;257;167;-35%;94;146;55,3%;0;94;23;156;0;0;9;1;5 anos e 6 meses;9 anos e 4 meses;10%;
TJSP;70930;SAO PAULO;SP;2ª CÂMARA EXTRAORDINÁRIA DE DIREITO PÚBLICO;G2;35;27;-22,9%;11;6;-45,5%;1;6;2;19;0;0;11;0;;9 anos e 3 meses;77%;600%
TJSP;59851;CAMPINAS;SP;03 TURMA CIVEL DO COLEGIO RECURSAL DA 8 C.J. - CAMPINAS DE CAMPINAS;TR;72;34;-52,8%;44;3;-93,2%;0;41;33;6;0;0;4;0;13 anos e 5 meses;9 anos e 3 meses;9%;
TJSP;9302;ARACATUBA;SP;VARA DA COMARCA DE ARACATUBA;G1;12.405;6.401;-48,4%;2.675;2.307;-13,8%;7;16;9;8;3;0;3.283;232;17 anos e 1 Mes;9 anos e 2 meses;100%;229%
TJSP;10907;SAO PAULO;SP;CARTÓRIO ANEXO DO JUIZADO ESPECIAL CÍVEL UNIBAN-FORO REGIONAL I - SANTANA;G1, JE;14;11;-21,4%;3;1;-66,7%;0;1;0;0;0;0;6;0;;9 anos e 2 meses;88%;
TJSP;72003;SAO PAULO;SP;5ª CÂMARA EXTRAORDINÁRIA DE DIREITO PÚBLICO;G2;17;12;-29,4%;10;6;-40%;0;2;2;11;0;0;3;1;;9 anos e 2 meses;71%;
TJSP;9335;ATIBAIA;SP;SAF DE ATIBAIA;G1;43.796;41.692;-4,8%;8.301;7.826;-5,7%;1.998;4.099;0;5.899;3.221;1.280;26.628;976;9 anos e 3 meses;9 anos e 2 meses;89%;205%
TJSP;59843;SANTOS;SP;03 TURMA CIVEL DO COLEGIO RECURSAL DA 1 C.J. - SANTOS DE SANTOS;TR;635;391;-38,4%;64;37;-42,2%;5;255;35;4;0;0;131;199;;9 anos e 2 meses;58%;5.100%
TJSP;71007;CAMPINAS;SP;05 TURMA CIVEL DO COLEGIO RECURSAL DA 8 C.J. - CAMPINAS;TR;28;5;-82,1%;12;0;-100%;0;26;11;1;0;0;2;0;7 anos;9 anos e 1 Mes;7%;
TJSP;59832;ITANHAEM;SP;02 TURMA CIVEL E CRIMINAL DO COLEGIO RECURSAL DA 56 C.J. - ITANHAEM DE ITANHAEM;TR;140;48;-65,7%;100;0;-100%;17;116;26;51;16;0;2;0;5 anos e 4 meses;9 anos e 1 Mes;2%;682%
TJSP;17559;FRANCISCO MORATO;SP;SEF DE FRANCISCO MORATO;G1;54.000;36.524;-32,4%;4.433;2.966;-33,1%;459;17.779;774;1.747;1.066;17.960;16.864;23;9 anos e 2 meses;9 anos e 1 Mes;65%;3.873%
TJSP;11647;SAO PAULO;SP;SETOR DE EXECUCOES FAZENDA PUBLICA DE CENTRAL;G1;9.641;9.751;1,1%;464;786;69,4%;307;2.007;518;22.453;665;1;5.953;25;24 anos e 4 meses;9 anos e 1 Mes;82%;654%
TJSP;70904;SAO PAULO;SP;19ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO;G2;6;5;-16,7%;0;0;;0;1;0;0;0;0;4;2;;9 anos;86%;
TJSP;10254;BERTIOGA;SP;01 CUMULATIVA DE BERTIOGA;G1, JE;15.631;15.095;-3,4%;5.984;5.917;-1,1%;2.944;3.061;11.707;6.906;2.220;543;4.327;184;1 ano e 10 meses;9 anos;75%;104%
TJSP;10880;OSASCO;SP;VARA JUIZADO ESPECIAL CIVEL - JIT - ANEXO FIEO - UNIFIEO DE OSASCO;G1, JE;228;227;-0,4%;125;126;0,8%;0;0;0;0;0;0;4;0;;9 anos;100%;
TJSP;59844;PRESIDENTE PRUDENTE;SP;03 TURMA CIVEL DO COLEGIO RECURSAL DA 27 C.J. - PRESIDENTE PRUDENTE DE PRESIDENTE PRUDENTE;TR;423;301;-28,8%;348;259;-25,6%;1;133;149;10;2;0;17;0;5 anos e 11 meses;8 anos e 11 meses;11%;13.300%
TJSP;59779;GUARATINGUETA;SP;01 TURMA CIVEL E CRIMINAL DO COLEGIO RECURSAL DA 48 C.J. - GUARATINGUETA DE GUARATINGUETA;TR;451;320;-29%;399;0;-100%;1;130;151;86;1;0;3;0;2 anos e 10 meses;8 anos e 11 meses;2%;13.000%
TJSP;59873;SAO PAULO;SP;05 TURMA CIVEL DO I COLEGIO RECURSAL DA CAPITAL DE CENTRAL;TR;188;165;-12,2%;155;131;-15,5%;0;23;31;120;0;0;3;0;;8 anos e 11 meses;12%;
TJSP;9721;ITAPECERICA DA SERRA;SP;SAF DE ITAPECERICA DA SERRA;G1;78.864;14.668;-81,4%;20.598;4.689;-77,2%;2.005;66.193;1.539;6.457;7.291;58.932;3.757;18;8 anos;8 anos e 11 meses;13%;3.301%
TJSP;70929;SAO PAULO;SP;1ª CÂMARA EXTRAORDINÁRIA DE DIREITO PÚBLICO;G2;18;14;-22,2%;6;3;-50%;1;3;2;6;0;0;6;1;;8 anos e 11 meses;79%;300%
TJSP;70903;SAO PAULO;SP;18ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO;G2;9;9;0%;2;2;0%;0;0;0;0;0;0;7;0;;8 anos e 10 meses;100%;
TJSP;9373;BARUERI;SP;FAZENDA PUBLICA DE BARUERI;G1, JE;65.557;58.914;-10,1%;15.577;14.090;-9,5%;5.082;12.541;6.389;38.982;6.212;5.096;19.764;250;7 anos e 2 meses;8 anos e 10 meses;78%;247%
TJSP;10829;CAMPINAS;SP;01 VARA JUIZADO ESPECIAL CIVEL - JIT - ANEXO FAC DE CAMPINAS;G1, JE;7;7;0%;0;0;;0;0;0;0;0;0;5;2;;8 anos e 10 meses;100%;
TJSP;59798;SANTOS;SP;02 TURMA CIVEL DO COLEGIO RECURSAL DA 1 C.J. - SANTOS DE SANTOS;TR;380;362;-4,7%;50;39;-22%;3;20;7;0;0;0;177;121;;8 anos e 10 meses;94%;667%
TJSP;72006;SAO PAULO;SP;8ª CÂMARA EXTRAORDINÁRIA DE DIREITO PÚBLICO;G2;7;6;-14,3%;5;4;-20%;0;1;3;3;0;0;1;0;;8 anos e 9 meses;67%;
TJSP;72004;SAO PAULO;SP;6ª CÂMARA EXTRAORDINÁRIA DE DIREITO PÚBLICO;G2;5;3;-40%;0;0;;0;1;0;3;0;0;1;0;;8 anos e 9 meses;67%;
TJSP;72005;SAO PAULO;SP;7ª CÂMARA EXTRAORDINÁRIA DE DIREITO PÚBLICO;G2;11;7;-36,4%;4;0;-100%;0;3;1;4;0;0;0;0;;8 anos e 9 meses;25%;
TJSP;72007;SAO PAULO;SP;9ª CÂMARA EXTRAORDINÁRIA DE DIREITO PÚBLICO;G2;19;17;-10,5%;2;2;0%;0;2;0;2;0;0;12;2;;8 anos e 9 meses;88%;
TJSP;10162;RIBEIRAO PIRES;SP;SAF DE RIBEIRAO PIRES;G1;49.915;43.909;-12%;4.663;3.915;-16%;73;5.295;2.172;4.187;3.184;1.439;26.920;19;12 anos e 1 Mes;8 anos e 9 meses;88%;7.253%
